anchor,positive,hard_negative
Solo 100mg/325mg,Aldigesic-SP,Espidase P 325mg/10mg
Equipam 5mg,Quietal 5mg,Equipod CV 200mg/125mg
Prestiflam 100mg/325mg,Axeclo-MR,Presticort-T
Loscad H 50mg/12.5mg,REPACE H 25 MG/12.5 MG,Loscard AM 50mg/5mg
Cetafen,Lotemp 250mg,Cetafed
Acebot,Acpanac-SP,Acebo 100mg
Allitose-P,Vinac P,Allitocob Plus
Hubcef 500,Infocef 250mg,Hubcef-S 375
Rabtry IT 20mg/150mg,Razo IR 20mg/150mg,Rex D 30mg/20mg
Arivog 0.3mg,Sazovia 0.2mg,Arivo-OZ 250mg/500mg
Rigacel 100mg,Xadoo 100mg,Diptase 100mg/15mg
Dcoxy P,Asomak-XP,Dcoxy TH 100mg/4mg
Onride 4mg,Retron 4mg,Rabnor O 4mg/20mg
Mymef-Plus,Mflocid Forte 500mg/325mg,Mensodol 325mg/25mg
Alticef-S 250mg/125mg,C Tox S 1000 mg/500 mg,Alticort 4mg
Waycef 50mg Dry,Finex O 200mg,Waycef O 200mg/200mg
Exprocef 200mg,Ceficod DS 50 mg Dry,Exprog-M 10mg
Zutex-S 250mg/125mg,Jetcef S 250mg/125mg,Zutex-T 1000mg/125mg
Rylofenac-P,Jaclo-CT,Rylofenac TH 100mg/4mg
FE Stop 500mg,DV-Para Oral Drop Banana,Festol
Betagail,Clobca-GM,Betagly M 1mg/500mg
Aligesic XL 100mg/325mg,Ecec P 100mg/325mg,Aligesic T 100mg/8mg
Serranac-K 50mg/10mg,Servex D 50mg/10mg,Powergesic 2X
Genericart Aceclofenac+Paracetamol 100mg/325mg,Ossedol P 100mg/325mg,Genericart Telmisartan+Amlodipine 80mg/5mg
Kanaxime 100mg Dry,Fixset Dry,Kanaxime CV Dry
Cefaxone 1gm,Aptek 1g,Solecef-Plus 375mg
Ricpar 125,Pamol 650mg,Ricpar 75mg
Unicif 200mg,Aelxim 50mg,Winfix-CV 200mg/125mg
Clear 200mg/200mcg,Glenpristone,Clearmox CV 500 mg/125 mg
Niyafen-P,Zeenodol P 100mg/325mg,Bextrin Total
Cefroz S 1000mg/500mg,Zimix SL 1000mg/500mg,CEFROM 1 GM
Avcef S 250mg/125mg,Apicef S 250mg/125mg,Zezone-S 500mg/500mg
Jynac P,Acherox-P,Jynac 200mg
Triocef 200mg,Amicef 100mg,Triocef 1000mg
Thermia M 500mg/325mg,Gamic P,Thermol 650mg
Cebact 1000mg/500mg,Ogicef-S 375,Linage-S 600mg/150mg
Pacinova 1000mg,Cronomol Junior 125mg,Pacinova M DS
Diconiv S 50mg/10mg,Depain-SR,Bestnac
Blufen P,Anifen P,Blufen Spas 80mg/100mg
Polo 650mg,Alcocin,Polo 50mg
Nicare 100mg,Nimucil 50mg,Camifort N
Quintec CX 50mg,Cefdavis 200mg,Quintor 2mg
Digihaler FF 6mcg/125mcg,Avessa 6mcg/100mcg,Digihaler FB 100
Fastrack,Relanac Plus 100 mg/325 mg,Metagesic Plus
Overxon S 250mg/125mg,Odicef S 250mg/125mg,Overxon O 200mg/200mg
Monozen 250mg,Cefarogen 1000mg,Monozen SB 1000mg/500mg
Ethyricef 1000mg,Z One 1000mg,Ethyricef S 1000mg/500mg
Acepic 200mg,Acnac 200mg,Supragesic SP
Cefihexa 50mg Dry,Infex 200mg,Cefihexa OF Dry
Cefnus 1000mg,Trihexa 1000mg,Cefnus 250mg/125mg
Mecef 50mg,Kwikcef 100mg Dry,Mecef 1000mg
Kylofen P 100mg/325mg,Artigesic Plus Oral Suspension Pineapple,Dubinac-SR
Cefostar S 1000mg/500mg,Ceftatica S 1000mg/500mg,Cefosign 100mg
Ket Plus,KETOSCAN 30MG,Moxicip KT
Acixone 1000mg,Ceftina 500mg,Acixone-SB 375
Tranirus-ET,Menostat 250mg/250mg,Tranil Plus
Monocon 1000mg,Cefizone 1000mg,Elores 3000mg
Sitahenz 100mg,Sitalor 50,Sitahenz DL 5mg/50mg
Novapep D 50mg/10mg,Serra D 50 mg/10 mg,Nimind S
Zorceft 500mg,Monocef 250mg,Treecef TZ 250mg/31.25mg
Ricpar MF 500mg/325mg,M Pds,Ricpar-DSP
Unicold S,Nazovea-DS,Unicort 100mg
Lotan H,Losartas-HT,Lotan-A 50mg/5mg
Inflahit SP,Titanic Plus 100mg/325mg,Inflasri D 50mg/15mg
Fotaxon 500mg,Raflozon 1gm,Fotaxon-SB 1.5gm
Acifen P 100mg/325mg,Acec P,Acifear 40mg
Cefgard 1gm,Dppin 500mg,Dppin S 1000mg/500mg
Abate,Visnac P,Abate 200mg
Ourfix 200mg,Quix CD 100mg,Ourfix O 200mg/200mg
Tenace-P,Lofen-MR,Setolac-P
Span LB,Cefipal 100mg,Spanliv 300
Nositat-ON,Onlit ODT,Ondacid O 40mg/4mg
Amanzoflam 50mg/15mg,Volter D 50mg/10mg,Amanza 2mg
Kinaze D 50mg/10mg,Flexym 50 mg/10 mg,Kinaze 10mg
Vycef 1000mg/500mg,Forone-SB 500mg/250mg,Vycef 1000mg
Amalgard IT 20mg/150mg,Rabisal IT 20mg/150mg,Amalgard 20mg
Polymol-Kid,Fevastin I.V.,Polymoist
Ultramol M 250,Mefanorm Plus,Ultracet 500mg/50mg
Acecott 200mg,IPS-CR,Aceco P
Kryptofix 100mg,Silcef Forte 100mg Dry,Kryptopan-DSR
M Plus Acp,Hifezol-SP,Febrex Ccf
Megadine M,Poviclean,Megaday Oral Suspension Mango Sugar Free
Castop S 250mg/125mg,Zenocef-S 250mg/125mg,Castor NF
Supercef 2gm,Ceftonox 1000mg,Supercef 500
Glafen MR 100mg/325mg,Arifnac P 100mg/500mg,Glafen 100mg
Cefixel 100mg,Fillceft 100mg,Cefixel 200 LB
Foricef 250mg,Notriax 250mg,Foricef XT 1000mg/125mg
Anzocef 500mg,Cefcor 500mg,Anzocalm 0.25 mg/20 mg
Greatodol-SP,Afast 100mg/325mg,Greatcef I 200mg
Zeximed 100mg Dry,Cefivoiz 50mg Dry,Zexime-O
Effie 100mg,Mimex 200,Axim O Dry
Zexime 50mg,Cefic 200,Zexime 200 DT
Ladex 100mg,Slide 100mg,Ladex-P 100mg/325mg
Sioxon-S 1gm/0.5gm,Zentrix-S 250mg/125mg,Sioxon 1gm
Actozik-P,Ubernac-SP,Actozinc
Blupimef-P Oral Suspension Mango,Timla 500mg/325mg,Osra MR
Scortax 200mg,Scalix 200mg,S Cort 6mg
Fillceft S 1000mg/500mg,Ronixone-S 750,Zaxter XP 1000 mg/500 mg
Sefzon 250mg,Futri 1000mg,Sefzole 40mg
Cefser 250mg,Castop 1000mg,Cefset-S 500mg/250mg
Depain-SR,Dikul SP 50mg/10mg,Depain 100mg
Monopil SB 1000mg/500mg,Odicef S 1000mg/500mg,Monoplus L
Emoflox TZ 200mg/600mg,Opec TZ,Emoflox 100mg
Convog 0.3,Yonimac 0.2mg,Voglikard M 500mg/0.2mg
Kiaxone S 250mg/125mg,Qucef S 1000mg/500mg,Kiaxone 250mg
Stycef 200mg,Ceficlav 200mg,Stycef 1gm/500mg
Joace-MR,Nykos-MR,Meflo P
Vomwor 4mg,Vexitron 4mg,Satron Plus 4 mg/500 mg
Glipsov,Tenbex 20mg,Glipsov M 1000mg/20mg
Cefritec SB 250mg/125mg,Suncef-SB 375,Stalcil 225mg/150mg
Forenza-LX,Cefsit LV 200mg/250mg,Forenza 325
Willxone 250,Spectacef 500mg,Willxone S 1000mg/500mg
Mancef S 500mg/250mg,Rhycoz 250mg/125mg,Mancet 5
Zifcef 250mg,Madxone 500mg,Zifcef 50mg Dry
Acolate Oral Drops Mango,Snowbeta DS,Acolate Kid
Desatax O 100mg,Xecute 50mg Dry,Desatax S 1000 mg/500 mg
Biosucal,Oxyrose S,Biosulin R 40IU
Defnac S 50mg/10mg,Symdase 50mg/10mg,Floxzen ST 200mg/10mg
Fechem-MR,Ofnac P 100mg/325mg,EXPERGESIC 500MG/15MG
Arovom 2mg,Ondiwel 4mg,Ondem P 4mg/500mg
Leavecold,Capnyl,Leave 500
Gramocef 1000mg,Aeltax 500mg,Axitrix V 1000mg/500mg
Ansetron 2mg Oral,Ondesra 2mg,Captiva O 40mg/4mg
Vomishield 8mg,Onzed 4,Omros O 4mg/20mg
Omniflam 100mg/325mg,Painolax,Nizla Plus
Acevan-SP,Lcnac P 100mg/325mg,Metaclop P 5mg/500mg
Xoy S 1000mg/500mg,Asracef S 500mg/250mg,Vanco Plus 1000 mg/500 mg
Residip 100 mg/500 mg,Movelite Plus 100mg/500mg,Residerm
Tricoflo S 250mg/125mg,Lorisol S 250mg/125mg,Tricold Plus
Somcomycin 1000mg,Vancocin CP 500mg,Axitrix V 1000mg/500mg
Tamin 100ml,ZEEPARA 650MG,Tamino MF
Spibact 200mg,Jefex 200 DT Tablet Pineapple,Medcef LB 200mg/500mg
Betaflam,Relifen SP,BETAFIT AM TABLET 5 MG/50 MG
Morbitop 0.2mg,Bogli 0.2mg,Morbifix 250mg
Tenipack 20mg,Canlip 20mg,Tezaglit-M 1000mg/20mg
Traxol O 25mg Oral,Novfix 200mg,Ceffblu OZ 200mg/500mg
Trynip 200mg,Nimcit 200mg,Trynip P 100mg/325mg
Tremolide 50mg,Resinim Plus,Tremol P 37.5mg/325mg
Stalix 50,Sitaneu 50,Stalin 100mg
Sigmol 250mg/5ml,Pyremol IV 1000mg,Sigmol LP
Orwicef 200mg,Oritaxim-O 50mg Dry,Ceflora AM
Ifron 1gm,Retrazone 500mg,Ifron-S 750mg
Netkold D,Piril DX,Netkold L Syrup Sugar Free
Flexiflam MR,Acepark P 100mg/325mg,Eurorab AF 200mg/20mg
Instaset,Trudon,Myset-O
Tryptimol 250mg,Antimol 250,Tryptosis CD 12.5mg/5mg
Qvog 0.2mg,Vora 0.2mg,Vobit R 1mg/0.3mg
Konet S 250mg/125mg,Rifone-SB 1.5,Konet 250mg
Zelcef 500mg,Kyocef 500mg,XL V 2000 mg/1000 mg
Cefavial 250mg,Moditron 500mg,Cefavial TZ 1000mg/125mg
Insrab-IT,Ediraz IT 20mg/150mg,Insrab-L
Colxime 200,Suprax 100mg,Colxib 90mg
Sofcef 250mg,Ethizone 1000mg,Sofcef 200mg/200mg
Himaxone 1000mg,Apicef 1000mg,Himaxime 100mg Dry
Dutrip Plus 100mg/325mg/50000AU,Rotaceclo P 100mg/325mg,Dutride 0.5mg
Oxwal TZ 200mg/600mg,Oflict TZ 200mg/600mg,Oxwal OZ
Weltax 250mg,Nekcef 250mg,Weltam 200mg
Erixone 250mg,Fracef 500mg,Erixone TZ 1000mg/125mg
Meflax,Aike,Meflane MF 20mg/250mg
Nilcobose 0.2mg,Oglibo 0.2mg,Nilconorm PG 2
Aceta Cold,Alcorid-P,Acetam 500mg
Cefifine 100mg,Dalwocef 100 Dry,Cembol 200 mg/60 mg/60 Millioncells
Triohil S 1000mg/500mg,Ceeta 1000 mg/500 mg,Triohil 1000mg
Satio D 50mg/10mg,Lysenze-D,Verin D 80 mg/50 mg
Metben Plus,Mofin A 500mg/200mg,Metbetic GL2
Tremendus Plus,Amomol-P,Tremendus 200mg
Rezix 50mg Dry,Ravixime 100mg,Rezix D 200mg/500mg
Rabob-IT 20mg/150mg,Rezole-IT 20mg/150mg,Rabob-DSR
Greatcef I 200mg,Cipaxime 200mg,Greatcef 50mg/5ml Dry
Prolomet R 50,Metopole-RM,Proloc-D 30mg/40mg
Acifact 100mg,Zoflex 200mg,Acifact P 100mg/500mg
Finecef S 250mg/125mg,Gonicef S 500mg/250mg,Finecold Plus
Zeoceft 250,Bactopace 1000mg,Zeocet L 10
Filtim 100mg Dry,Dalsix,Filtim-O 200mg/200mg
Aelcef 500mg,Zexone 250mg,Aelcef S 250mg/125mg
Matinic 400mg,Imaget 400mg,Matinor
Efoxim 100mg,Seefix 200mg,Megazolid Plus
Vofane 5mg,Ketoplast Plus Plaster,Infen MR 25mg/4mg
Denfix 100mg Dry,Aelxim 100 Dry,Ceflora AM
Ifimol 650,Pacimol XP,Ifimox 500mg
Winopar 650mg,Febrex 125mg/5ml,Acelife Plus 500 mg/15 mg
Freecef 200mg,Nifix 200mg,Freecept 250mg
Doxofix L 200mg/250mg,Kyopod-L 200mg/250mg,Doxofyl 400
Mycoten-M 500mg,Mystead 250mg,Mycoten-S 360mg
Oflomac TZ 200 mg/600 mg,Syflox TZ 200mg/600mg,Oflomarc OZ 200mg/500mg
Velaxim 200mg,Mecef 100mg,Velaxim O Dry
Genericart Warfarin 2mg,Uniwarfin 1mg,Genericart Cilnidipine 20mg
Eldocef 500mg,Ceemi CX 1000mg,Eldocort 24mg
Gempar 1K,Racemol 500mg,Gempar 300mg
Clomipure 100,Bestova 50,Clomid-CL 200mg/125mg
Aceleo SP,Acito P 100mg/500mg,Vacox Plus 20 mg/500 mg
Onetrix 500mg,C Tron 1000mg,Onetrix S 1000 mg/500 mg
Flumol 650mg,Pyrorem 1000mg,Flumol Cold N Flu
Infumol IV,Doloquik,Infumox CV
Okacef-SB 1.5gm,Ntcef SL 1000mg/500mg,Tecpime 2000mg/1000mg
Nimoyes 100mg,Zoxlide-MD,Nam Safe 100 mg/50 mg
Magnatuss-DX Syrup Sugar Free,Tossie-DX,Allercalcin
Austirox 1.5,Ceftobest SB 1000mg/500mg,Troxom-TZ Kid 250mg/31.25mg
Texacef 50mg Dry,Cefpan 200mg,Texacef 1000mg
DR Best 650,Parabig,DR Best Etizolam 0.5
Cefixwell 100,Fixamp 200 DT,Cefixwell 200 LB
Opimol 650,Paranir,Opimol 100mg
Cafage 500,Cameo 250mg,Cafage-S 750
Satixime 200mg,Cefiviz 100,Sefnix 100 LB
Kaxif 200mg,Fumacef 50mg,Xceft AX 200mg/60mg
Rasen 50mg/10mg,Dorsep S 50mg/10mg,Diclosef 50 mg/20 mg
Lorisol S 250mg/125mg,Demcef S 1000mg/500mg,Sulbacip 2gm
Venzone 500mg,Teccef 1000mg,Venzole
Polymol-DS,Park 650,Polymxy 0.5%
Qvcef 50 Dry,Uxime 200mg,Genclav 200mg/125mg
Numinac P 100mg/325mg,Uniflag 100mg/325mg,Numine-P
Tazon-S 1000mg/500mg,Danxone S 1000mg/500mg,Plugpen XP
Bitpara 650mg,Molfit,Bitpara MDS
Igracef 1000mg,Rioceft 250mg,Igracef S 1000mg/500mg
Necef S 500mg/250mg,Runcef S 1000mg/500mg,Necef 250mg
Gemget 1000mg,Gemacta 1000mg,Gemgest 200mg
Everace-P,Acemac-SP,Everan 25mg
Volpha 0.3mg,Vose 0.3mg,Volpha M 500 mg/0.2 mg
Mklock 650,Paralad 650mg,Riomef DS
Rimycold,Cozynix Plus,Painadol P 325mg/37.5mg
Lupisera D,Declan-S,Lupisulide D
Gabritab 50-AT,Maxgalip AT,Gabrica Plus
Fixzim 50mg Dry,Retricef 100mg,Fixzim-CV
Megapime XP 1000 mg/125 mg,Zopime TZ 1000mg/125mg,Vizpime 1000mg
Novacon Plus,Ulcrate-O Oral Suspension Sugar Free,Novacold Total
Kvcef 1000mg,Texar 500mg,Kvcef 100mg
Zefxone S 1000mg/500mg,Rixa SB 1000mg/500mg,Zefxone 250mg
Capridase 50mg/10mg,Dolocel SP 50mg/10mg,Capricef 200mg
Zukrid O,Sucraz O,Ulcoat Ano Rectal
Sucralnate O,Pepsigard T Rectal,SUCRAFIL D
Solfix 100mg,Zyfix 100mg Dry,Solfix-S 250mg/125mg
Quikace 200mg,Orthy 200mg,Quikace P 100mg/325mg
Ceficrat 50mg Dry,Bygocef 100mg,Cefi L 400 mg/500 mg
Prace-P,Paraever P 100mg/325mg,Prace-TC
Numol 100mg,Temptal 500mg,Numol Plus
Trosef-SB 1.5gm,Cefodus-S,Trosef 250mg
Acedor-P,Medpol Plus,Dotaver-A
Neflo P,Uskil-CT,Neflox TZ 400mg/600mg
Clonic P 100mg/325mg,Wellzaya-P,Clonil 50
Tenefron 20mg,Gudglip 20mg,Tenefron-M 500mg/20mg
Omcef 200mg,Recefix 200mg,Omcef 100mg/100mg
Neuter O 1000mg/20mg,Sucranith Plus,Neutear Plus
Biotum SL 1000mg/500mg,Ceftrivin-SB 375,Biotum 2000mg
ZEROCEF 200MG,Zotaxime 100mg,Zerocold P
Ladex-P,Top Pain DS,Ladex 100mg
Nazowor,Coldova-DS,Nazowell-P
Daxicef-SB,Capricef SS 500mg/250mg,Marzon SB 2000mg
Teneright 20mg,Tipglit 20mg,Tenerest M 1000mg/20mg
Aminol,Mypol 250mg/5ml,Aminodec 25mg
Ottace-P,Acevolt-P 100mg/325mg,Ottace TH 100mg/4mg
Zardcef-S 375,Fillceft S 250mg/125mg,Zardcef 1gm
Dolonix MF,Cetamef,Thiossil Plus 325mg/4mg
Ondasat,Ondavom,Inocid O 40mg/4mg
Vomizon 4mg,Ondanift 4mg,Vomizen-P 40mg/4mg
Teflam,Dalbon-MR,Nipposoft D 50mg/100mg Soft Gelatin
Encef SB 1000mg/500mg,Gcef S 500mg/250mg,Addbactam 1gm
Vom Off 4mg,Nilvom 4mg,Rabeq-OD
Olfura Plus,Alfanage 10mg/0.5mg,Olfura 10mg
Relisulide 100mg,Nimlink 100mg,Relispas 10 mg/250 mg
Abeclo-P,Acicant-SP,A Bec L 600mg/300mg
Cefhuron 1gm,Greexone 1000mg,Cefhuron S 375
Emitino 4mg,Optus 20mg,Renvorab-ON
Rajcef O 200mg,Morexim 100mg,Rajcef OF 200mg/200mg
Nimace 100mg,Nimus 100mg,Nimzone MR 100mg/2mg
Cefolac 200,Refix P 50mg Dry,Cefolac-O 200
Torflam-MR,Ostodec MR,Torflox OZ 200mg/500mg
Nimegesic 1% Transgel,Nimsaid 100mg,Nimsil-P
Clofetam-SP,Acinase P 100mg/325mg,Clofert 50
Orlide,Nimuace,Orlide P 100mg/500mg
Branac 100mg/325mg,Afenak Plus,Branam S 250mg/125mg
Cefik 1gm,Xolycef 1000mg,Cefikos OF 200mg/200mg
Bactofix LZ 200mg/600mg,Genofix LZ 200mg/600mg,Bactocin 250mg
Cosklot Plus 250mg/250mg,Tranac E 250mg/250mg,Cosklot 250mg
Retel 125mg,Eoceft 250mg,Retelex 18mg
Ceftcure 500mg,A Cef 2gm,XL V 2000 mg/1000 mg
Unitax O 200mg,Zatrofix 50mg,Unitax OF 200mg/200mg
Safetri S 1000 mg/500 mg,Otxone SL 250mg/125mg,Safetelmi CT 40mg/12.5mg
Sefnic 100mg,Redicate DS,Cefosign LB 200mg
Cebact 1000mg/500mg,Zefxone S 1000mg/500mg,Cebac 1.5
Orinep 650,Paracin,Orinec P 100mg/325mg
Expectus D,Wallrex DX,Expectus
Afnac-Fort,Hazchem P,Afnac-SP
Faithflam 100 mg/500 mg,Phaster 100mg/325mg,Faithcef-O
Clfate O,Drafate O,Clfate 1000mg
Mitrax 1000mg,Theotrax 1000mg,Mitraa 200mg
Acepar 100mg/325mg,Pacse-S 15,Acepar 200mg
Ercold-DS Oral Suspension Orange,Webflu Oral,Ercold Plus
Venmol 650mg,Ticpar 250mg,Venmox Kid
Ryfate O,Sucraday O,Ryfate 1000mg
Cefikab 200mg,Tyracef 100mg,Bactilem AX 200mg/60mg
SI Fixim 200mg,Delbi 100mg,Sifix-CV 200mg/125mg
Danset,Vomit-Off,Dansera 10mg
Ceftcure 500mg,Astarox 1000mg,Ceftcor SB 250mg/125mg
Ifytrox 250mg,Cefscot 500,Ifytrox SB 1000 mg/500 mg
Genvom 4mg,Oramide 2mg,Genvog 0.2mg
Ketodrive 10mg,Zeroket 10mg,Ketodac
Soltron 2mg,Flatron 4mg,Soltrol 100mg
Fixsol 200mg,Taurcef O 100mg,Torxime CV 200mg/125mg
AC-Mol,Nymex 650mg,Validay Plus 20 mg/500 mg
Canxime 50mg Dry,Saicef 50,Canxime OF 200mg/200mg
Onexim 200mg,Scortax 50mg,G Xime AZ 200 mg/250 mg
Aceto 150mg,Fenace 650mg,Aceto Plus 100 mg/500 mg
Topase P 100mg/500mg,Clikace P 100mg/325mg,Monticris LC
Nulcef SB 1000mg/500mg,Sehcef S 500mg/250mg,Deczone 250mg
Diclofaith SP 50mg/10mg,Dicloserra 50 mg/10 mg,Dospa 20mg/50mg
Atyad AP,Acloriz P 100mg/325mg,Atyad AZ 500mg
Corace P,Aceta SP,Corace S 100mg/15mg
Onace 200mg,Mathidol 200mg,Onace-TP
Mefpree 500mg/325mg,Nobi P,Trizacet Cold
Cinxim 200mg,Cefigram 200mg,Cinxim O 200mg/200mg
Clobenid-GM,Clobenate M,Zincort-S
Sonoxone 500mg,Doczone 1gm,Sonoxime Dry
Cfx 50mg Dry,R Sim 50mg Dry,Astafix SB 200mg/150mg
DavaIndia Paracetamol 650mg,Acetox,DavaIndia Amlodipine+Metoprolol Succinate 5mg/25mg
Rabideys IT 20mg/150mg,Brazo-IT 20mg/150mg,Rabigold L
Levtrox S 500mg/250mg,Liftaz,Levtrox 500mg
Csc 100mg,RAXIM-O 100 MG,Fimial-MX
Fenaplus MR,Tridolo-LS,Fenap-S 50mg/10mg
Destirone 2mg,Vomiclip 4mg,Oxirab O 4mg/20mg
Jencef 250mg,Mecacef 1000mg,Jencef 200mg
Pace 100mg,Acerik 100mg,Pace 125mg
Amicef 100mg,GT-Cef 100mg,Amicef 250mg
Atfrost P,Zencold Oral,Cofmin PD
E Cef 1000mg,Dotxone 1000mg,E Cef 200mg
Covance-D,Losak H 50mg/12.5mg,Rasilez Hct 150 mg/12.5 mg
Maczone 250mg,Rimceft 250mg,Maczone Plus 500 mg/250 mg
Ikva-P,Caprizox,Ikvapen-DSR
Citac 1mg,Biomus 2mg,Citacross 0.5mg/10mg
Antron 4mg,Ondasar 4mg,Antrozin
Cardace Meto 2.5,Envamine M 25mg/2.5mg,Cardace AM 5
Elmic T 500mg/250mg,Tranexo E 250mg/250mg,Elmic MF 500mg/250mg
Koslip 20mg,Eternex-T,Zita-D
Onus 4mg,Vomidel-MD,Rabnor O 4mg/20mg
Acelopara,Bsnac MR,Free Joint 100mg/50mg
Dencocin 1000mg,Vycin 500mg,Dencold Oral
Brilldex P,Codistar-DX Cough,Brillo 180mg
Bactofix 100mg,Eximo 100mg,C Tax-O XL 200
Emvon,Emesafe 4mg,Emvon Plus
Leadcef S 250mg/125mg,Amsef S 250mg/125mg,Leadcef 250
Mefnix P,Meflonez DS,Ftp Plus 100mg/325mg
Fotaxon-SB 1.5gm,Sulxone 1000mg/500mg,Fotaxon 500mg
Uasta A 100mg,Zix 50mg,Uasta AP 100mg/325mg
Zeonac Plus,Acycov P 100mg/325mg,Zeonac TH 100mg/4mg
Xnac-SR,Acewin OD,Eprilom 150mg/200mg
Dxone 500mg,Ceftcor 1000mg,Dxone XP 250mg/31.25mg
Yofix 50mg,Nimcef 50mg,Yofix O 200mg/200mg
Bromol 250mg,Agpar 125mg/5ml,Bromostar-T
Dison 50mg/10mg,Outnac S 50mg/10mg,DK Fam 50 mg/20 mg
Ketof-DT,Ketanov DT 10mg,Ketofer 2%
Nephrolimus 2mg,Tacmod Forte,Nephroadd 500mg/150mg
Vanzy 500mg,Vanking 1000,XL V 2000 mg/1000 mg
Rapkair IT 20mg/150mg,Rockrab IT 20mg/150mg,Rabzo MSR 20mg/15mg
